meal_plan_id,meal_plan_nome,dietary_preference,meals_per_day,day_order,refeicoes_do_dia,calorias_totais_dia,proteina_total_g,carboidrato_total_g,gordura_total_g
mp_001,Hipertrofia - 2500 kcal,omnivore,6,1,Café da manhã: Pão Integral com Pasta de Amendoim e Geleia | Lanche: Sanduíche de Pasta de Amendoim Quente | Almoço: Lentilha Estufada com Cogumelos | Lanche: Sanduíche de Pasta de Amendoim Quente | Janta: Wrap de Kebab de Carne | Lanche: Sanduíche de Pasta de Amendoim Quente,2212,102.6,265.3,87.0
mp_001,Hipertrofia - 2500 kcal,omnivore,6,2,Café da manhã: Pão Integral com Pasta de Amendoim e Geleia | Lanche: Sanduíche de Pasta de Amendoim Quente | Almoço: Lentilha Estufada com Cogumelos | Lanche: Sanduíche de Pasta de Amendoim Quente | Janta: Wrap de Kebab de Carne | Lanche: Sanduíche de Pasta de Amendoim Quente,2212,102.6,265.3,87.0
mp_001,Hipertrofia - 2500 kcal,omnivore,6,3,Café da manhã: Pão Integral com Pasta de Amendoim e Geleia | Lanche: Sanduíche de Pasta de Amendoim Quente | Almoço: Lentilha Estufada com Cogumelos | Lanche: Sanduíche de Pasta de Amendoim Quente | Janta: Wrap de Kebab de Carne | Lanche: Sanduíche de Pasta de Amendoim Quente,2212,102.6,265.3,87.0
mp_001,Hipertrofia - 2500 kcal,omnivore,6,4,Café da manhã: Pão Integral com Pasta de Amendoim e Geleia | Lanche: Sanduíche de Pasta de Amendoim Quente | Almoço: Lentilha Estufada com Cogumelos | Lanche: Sanduíche de Pasta de Amendoim Quente | Janta: Wrap de Kebab de Carne | Lanche: Sanduíche de Pasta de Amendoim Quente,2212,102.6,265.3,87.0
mp_001,Hipertrofia - 2500 kcal,omnivore,6,5,Café da manhã: Pão Integral com Pasta de Amendoim e Geleia | Lanche: Sanduíche de Pasta de Amendoim Quente | Almoço: Lentilha Estufada com Cogumelos | Lanche: Sanduíche de Pasta de Amendoim Quente | Janta: Wrap de Kebab de Carne | Lanche: Sanduíche de Pasta de Amendoim Quente,2212,102.6,265.3,87.0
mp_001,Hipertrofia - 2500 kcal,omnivore,6,6,Café da manhã: Pão Integral com Pasta de Amendoim e Geleia | Lanche: Sanduíche de Pasta de Amendoim Quente | Almoço: Lentilha Estufada com Cogumelos | Lanche: Sanduíche de Pasta de Amendoim Quente | Janta: Wrap de Kebab de Carne | Lanche: Sanduíche de Pasta de Amendoim Quente,2212,102.6,265.3,87.0
mp_001,Hipertrofia - 2500 kcal,omnivore,6,7,Café da manhã: Pão Integral com Pasta de Amendoim e Geleia | Lanche: Sanduíche de Pasta de Amendoim Quente | Almoço: Lentilha Estufada com Cogumelos | Lanche: Sanduíche de Pasta de Amendoim Quente | Janta: Wrap de Kebab de Carne | Lanche: Sanduíche de Pasta de Amendoim Quente,2212,102.6,265.3,87.0
mp_002,Emagrecimento - 1600 kcal,omnivore,4,1,Café da manhã: Mingau de Aveia com Banana | Almoço: Bowl de Salmão e Abacate | Janta: Almôndegas Caseiras de Patinho | Lanche: Batata Frita com Queijo e Bacon,1791.6,93.2,166.3,83.7
mp_002,Emagrecimento - 1600 kcal,omnivore,4,2,Café da manhã: Mingau de Aveia com Banana | Almoço: Bowl de Salmão e Abacate | Janta: Almôndegas Caseiras de Patinho | Lanche: Batata Frita com Queijo e Bacon,1791.6,93.2,166.3,83.7
mp_002,Emagrecimento - 1600 kcal,omnivore,4,3,Café da manhã: Mingau de Aveia com Banana | Almoço: Bowl de Salmão e Abacate | Janta: Almôndegas Caseiras de Patinho | Lanche: Batata Frita com Queijo e Bacon,1791.6,93.2,166.3,83.7
