grupo,exercicio_id,nome_exercicio,situacao,arquivo_original_no_drive,acao_sugerida,decisao_personal
sabor_2_erro_confirmado,ex_235,Superman,vídeo confere (SUPERMAN.MOV),SUPERMAN.MOV,manter,
sabor_2_erro_confirmado,ex_236,Bird dog,vídeo é do Superman - não do Bird dog,SUPERMAN.MOV,precisa de vídeo novo,
sabor_2_erro_confirmado,ex_283,Box Jump,vídeo confere (BOX JUMP.MOV),BOX JUMP.MOV,manter,
sabor_2_erro_confirmado,ex_285,Wall Ball,vídeo é do Box Jump - não do Wall Ball,BOX JUMP.MOV,precisa de vídeo novo,
sabor_2_erro_confirmado,ex_169,Face pull no cross,vídeo confere (FACE PULL NO CROSS.MOV),FACE PULL NO CROSS.MOV,manter,
sabor_2_erro_confirmado,ex_170,Elevação frontal com anilha,vídeo é do Face pull - não da Elevação frontal,FACE PULL NO CROSS.MOV,precisa de vídeo novo,
sabor_2_erro_confirmado,ex_250,Y-W-T Raise no chão,vídeo confere (YTW RAISE.MOV),YTW RAISE.MOV,manter,
sabor_2_erro_confirmado,ex_251,Remada com elástico (pegada fechada),vídeo é do Y-W-T Raise - não da Remada,YTW RAISE.MOV,precisa de vídeo novo,
sabor_2_erro_confirmado,ex_214,Rosca spider com halteres,vídeo confere (ROSCA SPIDER COM HALTERES.MOV),ROSCA SPIDER COM HALTERES.MOV,manter,
sabor_2_erro_confirmado,ex_215,Rosca na polia com barra reta (pegada supinada),vídeo é da Rosca spider com halteres - não da Rosca na polia,ROSCA SPIDER COM HALTERES.MOV,precisa de vídeo novo,
sabor_2_erro_confirmado,ex_270,Elíptico,vídeo confere (ELIPTICO.MOV),ELIPTICO.MOV,manter,
sabor_2_erro_confirmado,ex_271,Treino intervalado na escada,vídeo é do Elíptico - não do treino na escada,ELIPTICO.MOV,precisa de vídeo novo,
sabor_2_erro_confirmado,ex_287,High knees (elevação rápida dos joelhos),vídeo confere (ELEVACAODEJOELHOS.MOV = elevação de joelhos),ELEVACAODEJOELHOS.MOV,manter,
sabor_2_erro_confirmado,ex_099,Corrida no lugar em ponta dos pés,vídeo é do High knees (elevação de joelhos) - não da corrida em ponta dos pés,ELEVACAODEJOELHOS.MOV,precisa de vídeo novo,
sabor_1_provavel_duplicata_inofensiva,ex_018,Agachamento isométrico (cadeirinha),nome igual ao par - provável linha duplicada no catálogo,,confirmar se é duplicata ou dois exercícios diferentes,
sabor_1_provavel_duplicata_inofensiva,ex_058,Agachamento isométrico (cadeirinha),nome igual ao par - provável linha duplicada no catálogo,,confirmar se é duplicata ou dois exercícios diferentes,
sabor_1_provavel_duplicata_inofensiva,ex_050,Cadeira flexora,nome igual ao par - provável linha duplicada no catálogo,,confirmar se é duplicata ou dois exercícios diferentes,
sabor_1_provavel_duplicata_inofensiva,ex_081,Cadeira flexora,nome igual ao par - provável linha duplicada no catálogo,,confirmar se é duplicata ou dois exercícios diferentes,
sabor_1_provavel_duplicata_inofensiva,ex_054,Kettlebell swing,mesmo vídeo em 3 linhas - ver ex_082 e ex_291,,confirmar se são a mesma coisa,
sabor_1_provavel_duplicata_inofensiva,ex_082,Kettlebell swing,mesmo vídeo em 3 linhas - ver ex_054 e ex_291,,confirmar se são a mesma coisa,
sabor_1_provavel_duplicata_inofensiva,ex_291,Kettlebell swing (ou com halter),mesmo vídeo em 3 linhas - ver ex_054 e ex_082,,confirmar se são a mesma coisa,
sabor_1_provavel_duplicata_inofensiva,ex_055,Deadlift com barra olímpica,mesmo vídeo em 4 linhas - ver ex_069/083/245,,confirmar se são a mesma coisa,
sabor_1_provavel_duplicata_inofensiva,ex_069,Deadlift tradicional com barra,mesmo vídeo em 4 linhas - ver ex_055/083/245,,confirmar se são a mesma coisa,
sabor_1_provavel_duplicata_inofensiva,ex_083,Deadlift com barra olímpica,mesmo vídeo em 4 linhas - ver ex_055/069/245,,confirmar se são a mesma coisa,
sabor_1_provavel_duplicata_inofensiva,ex_245,Deadlift (levantamento terra),mesmo vídeo em 4 linhas - ver ex_055/069/083,,confirmar se são a mesma coisa,
sabor_1_provavel_duplicata_inofensiva,ex_060,Avanço reverso,nome parecido - provável mesma família de exercício,,confirmar se são a mesma coisa,
sabor_1_provavel_duplicata_inofensiva,ex_085,Avanço reverso com halteres,nome parecido - provável mesma família de exercício,,confirmar se são a mesma coisa,
sabor_1_provavel_duplicata_inofensiva,ex_061,Ponte unilateral com perna elevada,nome parecido - provável mesma família de exercício,,confirmar se são a mesma coisa,
sabor_1_provavel_duplicata_inofensiva,ex_073,Ponte de glúteos unilateral,nome parecido - provável mesma família de exercício,,confirmar se são a mesma coisa,
sabor_1_provavel_duplicata_inofensiva,ex_065,Romanian Deadlift com halteres,nome parecido (tradução) - provável mesma família de exercício,,confirmar se são a mesma coisa,
sabor_1_provavel_duplicata_inofensiva,ex_090,Peso morto romeno com halteres,nome parecido (tradução) - provável mesma família de exercício,,confirmar se são a mesma coisa,
sabor_1_provavel_duplicata_inofensiva,ex_066,Stiff com halteres,nome igual ao par - provável linha duplicada no catálogo,,confirmar se é duplicata,
sabor_1_provavel_duplicata_inofensiva,ex_075,Stiff com halteres,nome igual ao par - provável linha duplicada no catálogo,,confirmar se é duplicata,
sabor_1_provavel_duplicata_inofensiva,ex_067,Deadlift unilateral com halter,nome quase igual ao par,,confirmar se é duplicata,
sabor_1_provavel_duplicata_inofensiva,ex_086,Deadlift unilateral com halteres,nome quase igual ao par,,confirmar se é duplicata,
sabor_1_provavel_duplicata_inofensiva,ex_070,Romanian Deadlift com barra,nome parecido (tradução) - provável mesma família de exercício,,confirmar se são a mesma coisa,
sabor_1_provavel_duplicata_inofensiva,ex_080,Levantamento terra romeno,nome parecido (tradução) - provável mesma família de exercício,,confirmar se são a mesma coisa,
sabor_1_provavel_duplicata_inofensiva,ex_071,Stiff com barra,nome igual ao par - provável linha duplicada no catálogo,,confirmar se é duplicata,
sabor_1_provavel_duplicata_inofensiva,ex_079,Stiff com barra,nome igual ao par - provável linha duplicada no catálogo,,confirmar se é duplicata,
sabor_1_provavel_duplicata_inofensiva,ex_074,Good morning com peso corporal,nome igual ao par - provável linha duplicada no catálogo,,confirmar se é duplicata,
sabor_1_provavel_duplicata_inofensiva,ex_237,Good morning com peso corporal,nome igual ao par - provável linha duplicada no catálogo,,confirmar se é duplicata,
sabor_1_provavel_duplicata_inofensiva,ex_078,Mesa flexora,nome igual ao par - provável linha duplicada no catálogo,,confirmar se é duplicata,
sabor_1_provavel_duplicata_inofensiva,ex_087,Mesa flexora,nome igual ao par - provável linha duplicada no catálogo,,confirmar se é duplicata,
sabor_1_provavel_duplicata_inofensiva,ex_093,Elevação de panturrilha no chão,nome parecido - provável mesma família de exercício,,confirmar se são a mesma coisa,
sabor_1_provavel_duplicata_inofensiva,ex_095,Elevação de panturrilha com halteres,nome parecido - provável mesma família de exercício,,confirmar se são a mesma coisa,
sabor_1_provavel_duplicata_inofensiva,ex_103,Pular corda,nome igual ao par - provável linha duplicada no catálogo,,confirmar se é duplicata,
sabor_1_provavel_duplicata_inofensiva,ex_267,Pular corda,nome igual ao par - provável linha duplicada no catálogo,,confirmar se é duplicata,
sabor_1_provavel_duplicata_inofensiva,ex_107,Prancha frontal,nome igual ao par - provável linha duplicada no catálogo,,confirmar se é duplicata,
sabor_1_provavel_duplicata_inofensiva,ex_135,Prancha frontal,nome igual ao par - provável linha duplicada no catálogo,,confirmar se é duplicata,
sabor_1_provavel_duplicata_inofensiva,ex_108,Prancha lateral,nome igual ao par - provável linha duplicada no catálogo,,confirmar se é duplicata,
sabor_1_provavel_duplicata_inofensiva,ex_136,Prancha lateral,nome igual ao par - provável linha duplicada no catálogo,,confirmar se é duplicata,
sabor_1_provavel_duplicata_inofensiva,ex_110,Prancha com miniband,mesmo vídeo em 3 linhas - ver ex_124 e ex_140,,confirmar se são a mesma coisa,
sabor_1_provavel_duplicata_inofensiva,ex_124,Prancha com elástico,mesmo vídeo em 3 linhas - ver ex_110 e ex_140,,confirmar se são a mesma coisa,
sabor_1_provavel_duplicata_inofensiva,ex_140,Prancha com miniband,mesmo vídeo em 3 linhas - ver ex_110 e ex_124,,confirmar se são a mesma coisa,
sabor_1_provavel_duplicata_inofensiva,ex_117,Mountain climber crossbody,nome parecido (tradução) - provável mesma família de exercício,,confirmar se são a mesma coisa,
sabor_1_provavel_duplicata_inofensiva,ex_288,Escalador crossbody,nome parecido (tradução) - provável mesma família de exercício,,confirmar se são a mesma coisa,
sabor_1_provavel_duplicata_inofensiva,ex_118,Prancha com toque no ombro,mesmo vídeo em 3 linhas - ver ex_148 e ex_152,,confirmar se são a mesma coisa,
sabor_1_provavel_duplicata_inofensiva,ex_148,Prancha com toque nos ombros,mesmo vídeo em 3 linhas - ver ex_118 e ex_152,,confirmar se são a mesma coisa,
sabor_1_provavel_duplicata_inofensiva,ex_152,Prancha com toque de ombro,mesmo vídeo em 3 linhas - ver ex_118 e ex_148,,confirmar se são a mesma coisa,
sabor_1_provavel_duplicata_inofensiva,ex_120,Prancha com elevação de perna,nome parecido - provável mesma família de exercício,,confirmar se são a mesma coisa,
sabor_1_provavel_duplicata_inofensiva,ex_147,Prancha com elevação alternada de pernas,nome parecido - provável mesma família de exercício,,confirmar se são a mesma coisa,
sabor_1_provavel_duplicata_inofensiva,ex_121,Hollow hold (posição de barco),nome igual ao par - provável linha duplicada no catálogo,,confirmar se é duplicata,
sabor_1_provavel_duplicata_inofensiva,ex_139,Hollow hold,nome igual ao par - provável linha duplicada no catálogo,,confirmar se é duplicata,
sabor_1_provavel_duplicata_inofensiva,ex_125,Sit-up com as pernas elevadas,nome parecido - provável mesma família de exercício,,confirmar se são a mesma coisa,
sabor_1_provavel_duplicata_inofensiva,ex_126,Sit-up com as pernas elevadas com peso,nome parecido - provável mesma família de exercício,,confirmar se são a mesma coisa,
sabor_1_provavel_duplicata_inofensiva,ex_128,Joelho no peito na barra,nome parecido - provável mesma família de exercício,,confirmar se são a mesma coisa,
sabor_1_provavel_duplicata_inofensiva,ex_145,Knee raise pendurado,nome parecido - provável mesma família de exercício,,confirmar se são a mesma coisa,
sabor_1_provavel_duplicata_inofensiva,ex_184,Supino declinado com barra,nome igual ao par - provável linha duplicada no catálogo,,confirmar se é duplicata,
sabor_1_provavel_duplicata_inofensiva,ex_191,Supino declinado com barra,nome igual ao par - provável linha duplicada no catálogo,,confirmar se é duplicata,
sabor_1_provavel_duplicata_inofensiva,ex_194,Flexão de braço com pegada fechada,nome igual ao par - provável linha duplicada no catálogo,,confirmar se é duplicata,
sabor_1_provavel_duplicata_inofensiva,ex_216,Flexão de braço com pegada fechada,nome igual ao par - provável linha duplicada no catálogo,,confirmar se é duplicata,
