meal_id;nome;ativa;tipo de problema;descricao;gravidade;decisao
meal_006;Panqueca Fit de Banana e Aveia;sim;Adjetivos Vazios;Usa adjetivos de marketing que não descrevem a comida: fit.;Baixa;
meal_008;Tapioca de Frango com Requeijão Light;sim;Adjetivos Vazios;Usa adjetivos de marketing que não descrevem a comida: light.;Baixa;
meal_040;Wrap Rápido de Frango;sim;Adjetivos Vazios;Usa adjetivos de marketing que não descrevem a comida: rápido.;Baixa;
meal_057;Mousse Funcional de Abacate e Cacau;sim;Adjetivos Vazios;Usa adjetivos de marketing que não descrevem a comida: funcional.;Baixa;
meal_082;Hambúrguer Caseiro Magro;sim;Adjetivos Vazios;Usa adjetivos de marketing que não descrevem a comida: caseiro, magro.;Baixa;
meal_085;Sorvete Caseiro de Banana e Morango;sim;Adjetivos Vazios;Usa adjetivos de marketing que não descrevem a comida: caseiro.;Baixa;
meal_087;Bolo de Chocolate de Microondas Fit;sim;Adjetivos Vazios;Usa adjetivos de marketing que não descrevem a comida: fit.;Baixa;
meal_092;Wrap Frio de Atum Rápido;sim;Adjetivos Vazios;Usa adjetivos de marketing que não descrevem a comida: rápido.;Baixa;
meal_094;Queijo Quente (Misto Quente Simples);sim;Adjetivos Vazios;Usa adjetivos de marketing que não descrevem a comida: simples.;Baixa;
meal_108;Almôndegas Caseiras de Patinho;sim;Adjetivos Vazios;Usa adjetivos de marketing que não descrevem a comida: caseiras.;Baixa;
meal_131;Strogonoff de Carne Saudável;sim;Adjetivos Vazios;Usa adjetivos de marketing que não descrevem a comida: saudável.;Baixa;
meal_163;Salada de Frango Rápida;sim;Adjetivos Vazios;Usa adjetivos de marketing que não descrevem a comida: rápida.;Baixa;
meal_172;Kombucha de Morango Caseira;sim;Adjetivos Vazios;Usa adjetivos de marketing que não descrevem a comida: caseira.;Baixa;
meal_176;Batido Hipercalórico (Mass Gainer Caseiro);sim;Adjetivos Vazios;Usa adjetivos de marketing que não descrevem a comida: caseiro.;Baixa;
meal_187;Purê de Abóbora Simples;sim;Adjetivos Vazios;Usa adjetivos de marketing que não descrevem a comida: simples.;Baixa;
meal_192;Hambúrguer Caseiro com Bacon;sim;Adjetivos Vazios;Usa adjetivos de marketing que não descrevem a comida: caseiro.;Baixa;
meal_194;Cachorro-Quente Especial;sim;Adjetivos Vazios;Usa adjetivos de marketing que não descrevem a comida: especial.;Baixa;
meal_004;Pão Integral com Pasta de Amendoim e Geleia;sim;Comprimento Inadequado;Nome longo demais (8 palavras, 43 caracteres). Dificulta leitura em lista no app.;Baixa;
meal_174;Smoothie de Leite de Coco e Frutas Vermelhas;sim;Comprimento Inadequado;Nome longo demais (8 palavras, 44 caracteres). Dificulta leitura em lista no app.;Baixa;
meal_009;Avocado Toast com Ovo (Pão com Abacate);sim;Inconsistência de Padrão;Usa parênteses no nome, quebrando o padrão limpo de leitura.;Baixa;
meal_028;Crepioca Doce (Pré-Treino);sim;Inconsistência de Padrão;Usa parênteses no nome, quebrando o padrão limpo de leitura.;Baixa;
meal_049;Panqueca de Grão-de-Bico (Vegana);sim;Inconsistência de Padrão;Usa parênteses no nome, quebrando o padrão limpo de leitura.;Baixa;
meal_050;Shakshuka (Ovos no Molho de Tomate);sim;Inconsistência de Padrão;Usa parênteses no nome, quebrando o padrão limpo de leitura.;Baixa;
meal_053;Proats (Mingau de Aveia com Whey);sim;Inconsistência de Padrão;Usa parênteses no nome, quebrando o padrão limpo de leitura.;Baixa;
meal_084;Brigadeiro de Colher (Sem Açúcar);sim;Inconsistência de Padrão;Usa parênteses no nome, quebrando o padrão limpo de leitura.;Baixa;
meal_094;Queijo Quente (Misto Quente Simples);sim;Inconsistência de Padrão;Usa parênteses no nome, quebrando o padrão limpo de leitura.;Baixa;
meal_137;Feijoada Vegana (com Tofu Defumado);sim;Inconsistência de Padrão;Usa parênteses no nome, quebrando o padrão limpo de leitura.;Baixa;
meal_176;Batido Hipercalórico (Mass Gainer Caseiro);sim;Inconsistência de Padrão;Usa parênteses no nome, quebrando o padrão limpo de leitura.;Baixa;
meal_179;Milkshake de Cacau e Aveia (Vegan);sim;Inconsistência de Padrão;Usa parênteses no nome, quebrando o padrão limpo de leitura.;Baixa;
meal_191;Macarrão com Queijo Clássico (Mac & Cheese);sim;Inconsistência de Padrão;Usa parênteses no nome, quebrando o padrão limpo de leitura.;Baixa;
meal_108;Almôndegas Caseiras de Patinho;sim;Omissão de Conteúdo;Ingrediente base/pesado ([food_380] Molho de tomate caseiro - 100.0g) é ignorado no nome.;Baixa;
meal_151;Pizza de Frigideira Low Carb;sim;Omissão de Conteúdo;Ingrediente base/pesado ([food_165] Ovo cozido - 100.0g) é ignorado no nome.;Baixa;
meal_176;Batido Hipercalórico (Mass Gainer Caseiro);sim;Omissão de Conteúdo;Ingrediente base/pesado ([food_079] Banana - 100.0g) é ignorado no nome.;Baixa;
meal_144;Frango Desfiado com Purê de Abóbora;sim;Risco de Confusão;O prefixo/nome base é muito similar a outras receitas: Frango Desfiado com Purê de Mandioca, Frango Desfiado com Tapioca.;Média;
meal_188;Frango Desfiado com Tapioca;sim;Risco de Confusão;O prefixo/nome base é muito similar a outras receitas: Frango Desfiado com Purê de Abóbora, Frango Desfiado com Purê de Mandioca.;Média;
meal_005;Vitamina de Abacate Tradicional;não;Adjetivos Vazios;Usa adjetivos de marketing que não descrevem a comida: tradicional.;Baixa;
meal_014;Macarrão à Bolonhesa Saudável;não;Adjetivos Vazios;Usa adjetivos de marketing que não descrevem a comida: saudável.;Baixa;
meal_027;Torrada com Guacamole Caseiro;não;Adjetivos Vazios;Usa adjetivos de marketing que não descrevem a comida: caseiro.;Baixa;
meal_033;Salada Caesar Saudável com Frango;não;Adjetivos Vazios;Usa adjetivos de marketing que não descrevem a comida: saudável.;Baixa;
meal_058;Bruschetta Saudável de Tomate;não;Adjetivos Vazios;Usa adjetivos de marketing que não descrevem a comida: saudável.;Baixa;
meal_083;Coxinha Fit de Batata Doce;não;Adjetivos Vazios;Usa adjetivos de marketing que não descrevem a comida: fit.;Baixa;
meal_093;Salada Caprese Expresso;não;Adjetivos Vazios;Usa adjetivos de marketing que não descrevem a comida: expresso.;Baixa;
meal_099;Salada Rápida de Feijão Fradinho;não;Adjetivos Vazios;Usa adjetivos de marketing que não descrevem a comida: rápida.;Baixa;
meal_112;Moqueca Leve de Cação e Banana-da-Terra;não;Adjetivos Vazios;Usa adjetivos de marketing que não descrevem a comida: leve.;Baixa;
meal_117;Risoto Falso de Quinoa e Funghi;não;Adjetivos Vazios;Usa adjetivos de marketing que não descrevem a comida: falso.;Baixa;
meal_135;Risoto Falso de Frango e Couve-flor;não;Adjetivos Vazios;Usa adjetivos de marketing que não descrevem a comida: falso.;Baixa;
meal_142;Ceviche de Salmão Saudável;não;Adjetivos Vazios;Usa adjetivos de marketing que não descrevem a comida: saudável.;Baixa;
meal_146;Wrap Leve de Queijo Branco;não;Adjetivos Vazios;Usa adjetivos de marketing que não descrevem a comida: leve.;Baixa;
meal_149;Sopa Detox de Couve;não;Adjetivos Vazios;Usa adjetivos de marketing que não descrevem a comida: detox.;Baixa;
meal_155;Salada de Batata e Ovo (Maionese Fit);não;Adjetivos Vazios;Usa adjetivos de marketing que não descrevem a comida: fit.;Baixa;
meal_169;Salada Rápida de Cenoura e Ovo;não;Adjetivos Vazios;Usa adjetivos de marketing que não descrevem a comida: rápida.;Baixa;
