meal_id,name_ptbr,meal_type,is_active,restriction_tags,ingredients
meal_001,Crepioca de Queijo Minas,breakfast,true,"egg,milk",Ovo cozido: 50g; Queijo minas frescal: 30g; Tapioca (goma preparada): 30g
meal_002,Mingau de Aveia com Banana,breakfast,true,"gluten_free_if_certified,milk",Aveia em flocos: 40g; Banana: 100g; Leite desnatado: 200ml
meal_003,Ovos Mexidos com Pão Francês,breakfast,true,"egg,gluten,milk",Manteiga sem sal: 5g; Ovo cozido: 100g; Pão francês: 50g
meal_004,Pão Integral com Pasta de Amendoim e Geleia,breakfast,true,"gluten,peanuts,wheat",Geleia de morango: 20g; Pão de forma integral: 50g; Pasta de amendoim: 30g
meal_005,Vitamina de Abacate Tradicional,breakfast,false,,Abacate: 100g; Leite integral: 200ml; Mel de abelha: 10g
meal_006,Panqueca Fit de Banana e Aveia,breakfast,true,"egg,gluten_free_if_certified",Aveia em flocos: 20g; Banana: 100g; Ovo cozido: 50g
meal_007,Iogurte com Granola e Morango,breakfast,true,"gluten,milk,nuts",Granola tradicional: 30g; Iogurte natural: 150g; Morango: 100g
meal_008,Tapioca de Frango com Requeijão Light,breakfast,true,milk,Peito de frango grelhado: 80g; Requeijão light: 30g; Tapioca (goma preparada): 50g
meal_009,Avocado Toast com Ovo (Pão com Abacate),breakfast,true,"egg,gluten,wheat",Abacate: 50g; Ovo cozido: 50g; Pão de forma integral: 50g
meal_010,Croissant de Presunto e Queijo,breakfast,true,"egg,gluten,milk,pork,wheat",Croissant: 50g; Presunto cozido: 30g; Queijo prato: 30g
meal_011,Frango com Batata Doce e Brócolis,lunch,false,gluten,Arroz integral cozido: 100g; Farinha de trigo: 100g; Peito de frango grelhado: 150g
meal_012,"Prato Feito (Arroz, Feijão e Bife)",lunch,false,"gluten,red_meat",Batata doce cozida: 100g; Contrafilé grelhado: 100g; Macarrão cozido: 100g
meal_013,Bacalhau com Batata e Ovo,lunch,false,"egg,fish,gluten",Azeite de oliva extravirgem: 10ml; Bacalhau dessalgado cozido: 100g; Ovo cozido: 50g; Pão integral: 100g
meal_014,Macarrão à Bolonhesa Saudável,lunch,false,red_meat,Carne moída (patinho) cozida: 100g; Molho de tomate caseiro: 100g; Quinoa cozida: 150g
meal_015,Strogonoff de Frango com Arroz,lunch,false,milk,Batata doce cozida: 100g; Creme de leite: 50g; Molho de tomate caseiro: 50g; Peito de frango grelhado: 100g
meal_016,Salada de Atum e Grão-de-bico,lunch,true,fish,Atum em lata (natural): 100g; Azeite de oliva extravirgem: 10ml; Grão-de-bico cozido: 100g
meal_017,Salmão Assado com Quinoa e Cenoura,lunch,false,fish,Cuscuz de milho cozido: 100g; Peixe (salmão): 150g; Polenta cozida: 100g
meal_018,Hambúrguer Vegetal com Purê de Abóbora,lunch,true,,Hambúrguer vegetal (tipo carne): 100g; Purê de abóbora (preparado): 150g
meal_019,Omelete de Espinafre e Tomate Seco,lunch,false,"egg,milk",Araruta cozida: 50g; Ovo cozido: 100g; Queijo muçarela: 30g; Tomate seco em óleo: 15g
meal_020,Tofu Defumado com Arroz Integral,lunch,false,"gluten,soy",Farinha de trigo: 100g; Milho cozido: 100g; Tofu defumado: 100g
meal_021,Sanduíche de Peru e Cottage,snack,true,"gluten,milk,wheat",Pão de forma integral: 50g; Peito de peru defumado: 30g; Queijo cottage: 30g
meal_022,Batido de Whey e Banana,snack,true,"milk,soy",Banana: 100g; Leite desnatado: 200ml; Whey Protein Concentrado: 30g
meal_023,Iogurte com Chia e Maçã,snack,false,milk,Chia hidratada (Pudim de Chia base): 15g; Iogurte natural desnatado: 150g; Laranja: 100g
meal_024,Muffin de Banana de Microondas,snack,true,"egg,gluten_free_if_certified",Aveia em flocos: 20g; Banana: 50g; Ovo cozido: 50g
meal_025,"Vitamina de Aveia, Morango e Colágeno",snack,true,gluten_free_if_certified,Colágeno hidrolisado: 10g; Leite de aveia: 200ml; Morango: 100g
meal_026,Mingau Proteico de Cacau,snack,true,"gluten_free_if_certified,milk,soy",Aveia em flocos: 30g; Cacau em pó (sem açúcar): 5g; Leite desnatado: 150ml; Whey Protein Concentrado: 20g
meal_027,Torrada com Guacamole Caseiro,snack,false,"gluten,wheat",Abacate: 50g; Alface: 30g; Torrada integral: 30g
meal_028,Crepioca Doce (Pré-Treino),snack,true,egg,Banana: 50g; Cacau em pó (sem açúcar): 5g; Ovo cozido: 50g; Tapioca (goma preparada): 30g
meal_029,Sanduíche Natural de Atum,snack,true,"fish,gluten,milk,wheat",Atum em lata (natural): 50g; Creme de ricota: 20g; Pão de forma integral: 50g
meal_030,Batido Verde (Green Smoothie),snack,false,gluten_free_if_certified,Araruta cozida: 30g; Farinha de linhaça: 10g; Laranja: 100g; Leite de aveia: 200ml
meal_031,Creme de Abóbora com Frango,dinner,true,,Azeite de oliva extravirgem: 5ml; Peito de frango grelhado: 100g; Purê de abóbora (preparado): 150g
meal_032,Omelete de Queijo Minas e Tomate,dinner,false,"egg,milk",Alface: 50g; Ovo cozido: 100g; Queijo minas frescal: 30g
meal_033,Salada Caesar Saudável com Frango,dinner,false,milk,Aipo (Salsão): 100g; Iogurte natural integral: 20g; Peito de frango grelhado: 100g; Queijo parmesão: 20g
