exercise_id,id,name_ptbr,name_en,name_fr,instruction_ptbr,instruction_en,instruction_fr,muscle_groups_ids,muscle_groups_nomes,exercise_equipments_ids,exercise_equipments_nomes,exercise_level_id,exercise_level_nome,avoid_health_conditions_ids,avoid_health_conditions_nomes,caution_health_condition_ids,caution_health_condition_nomes,ambiente_permitido,calories,image_url,video_url
ex_001,2137a13c-1f41-48c3-82b3-cc52139e4476,Agachamento livre,Bodyweight Squat,Squat au poids du corps,"Fique em pé com os pés afastados na largura dos ombros, flexione os joelhos descendo o quadril e volte à posição inicial.","Stand with feet shoulder-width apart, bend knees lowering hips, then return to standing.","Tenez-vous debout, pieds écartés à la largeur des épaules, pliez les genoux en descendant les hanches puis revenez debout.",quadriceps; glutes; hamstrings; core,Core (Geral); Quadríceps; Isquiotibiais; Glúteos (Geral),none_bodyweight,nenhum (peso do corpo),beginner,Iniciante,pregnancy,Gravidez,asthma; diabetes; knee_pain; high_blood_pressure; lumbar_hernia; obesity; heart_condition; pregnancy_postpartum,Asma ; Condição Cardíaca ; Diabetes; Hipertensão ; Joelho; Lombar; Obesidade ; Pós-parto,Casa (sem equipamento); Casa (com equipamento); Academia; Ar Livre,150,,https://drive.google.com/file/d/1fU9JhxTMmakbAHk2H9a1ZlakMDAFrD4H/view?usp=sharing
ex_002,aa0a85f1-690b-474c-8b25-8c4a48ceba9a,Avanço (afundo) com peso corporal,Bodyweight Lunge,Fente au poids du corps,"Dê um passo à frente, flexione os joelhos em 90° e retorne à posição inicial, alternando as pernas.","Step forward, bend both knees at 90°, return to start, alternate legs.","Faites un pas en avant, pliez les deux genoux à 90°, revenez au début, alternez les jambes.",quadriceps; glutes; hamstrings; core,Core (Geral); Quadríceps; Isquiotibiais; Glúteos (Geral),none_bodyweight,nenhum (peso do corpo),beginner,Iniciante,pregnancy,Gravidez,asthma; diabetes; knee_pain; high_blood_pressure; lumbar_hernia; obesity; heart_condition; pregnancy_postpartum,Asma ; Condição Cardíaca ; Diabetes; Hipertensão ; Joelho; Lombar; Obesidade ; Pós-parto,Casa (sem equipamento); Casa (com equipamento); Academia; Ar Livre,160,,https://drive.google.com/file/d/1_HftqtaDkZti6gLNQCqlBlP7IxD9kq-x/view?usp=sharing
ex_003,f7d38b75-7a14-40e2-85a5-d548d3c922db,Agachamento sumô isométrico,Isometric Sumo Squat,Squat sumo isométrique,"Abra bem as pernas, aponte os pés para fora, flexione os joelhos até 90° e mantenha a posição parada.","Open legs wide, lower hips holding position at 90° with knees bent.","Écartez largement les jambes, descendez les hanches et maintenez la position à 90° genoux pliés.",quadriceps; glutes; hamstrings; core,Core (Geral); Quadríceps; Isquiotibiais; Glúteos (Geral),none_bodyweight,nenhum (peso do corpo),intermediate,Intermediário,pregnancy,Gravidez,asthma; diabetes; knee_pain; high_blood_pressure; lumbar_hernia; obesity; heart_condition; pregnancy_postpartum,Asma ; Condição Cardíaca ; Diabetes; Hipertensão ; Joelho; Lombar; Obesidade ; Pós-parto,Casa (sem equipamento); Casa (com equipamento); Academia; Ar Livre,140,,https://drive.google.com/file/d/1_0BcaRvnfw0AXRB4CjTwNYH2dz_qCsSl/view?usp=sharing
ex_004,c0ae4434-338c-4a04-91e9-81c08b5ac9b2,Agachamento com halteres,Dumbbell Squat,Squat avec haltères,"Segure os halteres ao lado do corpo, flexione os joelhos descendo o quadril e retorne em pé.","Hold dumbbells at sides, bend knees lowering hips, return to standing.","Tenez les haltères sur les côtés, pliez les genoux en descendant les hanches, revenez debout.",quadriceps; glutes; hamstrings; core,Core (Geral); Quadríceps; Isquiotibiais; Glúteos (Geral),dumbbells,halteres,intermediate,Intermediário,pregnancy,Gravidez,asthma; diabetes; knee_pain; high_blood_pressure; lumbar_hernia; obesity; heart_condition; pregnancy_postpartum,Asma ; Condição Cardíaca ; Diabetes; Hipertensão ; Joelho; Lombar; Obesidade ; Pós-parto,Casa (com equipamento); Academia,180,,https://drive.google.com/file/d/1kL1ulRDTgM9xVZgg1gb2GXzmCn6Y-Xbl/view?usp=sharing
ex_005,c837c747-a6df-41cf-bd50-f78a9b0fec0f,lunge Passada com halteres,Dumbbell Lunge,Fente avec haltères,"Segure os halteres, dê um passo à frente, flexione os joelhos em 90° e volte à posição inicial.","Step forward with dumbbells in hands, bend knees, return to start.","Avancez avec des haltères en main, pliez les genoux, revenez au début.",quadriceps; glutes; hamstrings; core,Core (Geral); Quadríceps; Isquiotibiais; Glúteos (Geral),dumbbells,halteres,intermediate,Intermediário,pregnancy,Gravidez,asthma; diabetes; knee_pain; high_blood_pressure; lumbar_hernia; obesity; heart_condition; pregnancy_postpartum,Asma ; Condição Cardíaca ; Diabetes; Hipertensão ; Joelho; Lombar; Obesidade ; Pós-parto,Casa (com equipamento); Academia,170,,https://drive.google.com/file/d/10iBMAc2z7DvXu_RPA5RFOh0NqfWB-XWo/view?usp=sharing
ex_006,92518128-e827-4d4d-a31a-4e58d9fb0937,Agachamento frontal com kettlebell,Kettlebell Front Squat,Squat avant avec kettlebell,"Segure o kettlebell à frente do peito, agache mantendo a coluna ereta e retorne.","Hold kettlebell in front, bend knees lowering hips, return to standing.","Tenez le kettlebell devant, pliez les genoux en descendant les hanches, revenez debout.",quadriceps; core; hamstrings; glutes,Core (Geral); Quadríceps; Isquiotibiais; Glúteos (Geral),kettlebell,kettlebell,advanced,Avançado,pregnancy,Gravidez,asthma; diabetes; knee_pain; high_blood_pressure; lumbar_hernia; obesity; heart_condition; pregnancy_postpartum,Asma ; Condição Cardíaca ; Diabetes; Hipertensão ; Joelho; Lombar; Obesidade ; Pós-parto,Casa (com equipamento); Academia,185,,https://drive.google.com/file/d/1S0e3XGpsMjuT8mP8ufawA0AqKN_gGEUW/view?usp=sharing
ex_007,37c3fa93-e840-41cc-8daa-187e33385e9b,Leg press,Leg Press,Presse à cuisses,"Apoie os pés na plataforma e empurre, estendendo as pernas sem travar os joelhos.","Sit on leg press machine, push platform extending legs, return slowly.","Asseyez-vous à la presse à jambes, poussez la plateforme en étendant les jambes, revenez lentement.",quadriceps; glutes; hamstrings,Quadríceps; Isquiotibiais; Glúteos (Geral),leg_press,leg press,intermediate,Intermediário,none,Nenhuma,none,Nenhuma,Academia,160,,https://drive.google.com/file/d/1g3BHjkZdOFvHDTccm9pL2hEBrzTKDnld/view?usp=sharing
ex_008,9d32e60d-0238-450e-b099-296b79f26575,Cadeira extensora,Leg Extension,Extension de jambes,"Sente-se na máquina, posicione os pés nos rolos e estenda os joelhos até o final.","Sit on extension machine, extend legs upward, return slowly.","Asseyez-vous à la machine d’extension, étendez les jambes vers le haut, revenez lentement.",quadriceps,Quadríceps,leg_extension,cadeira extensora,beginner,Iniciante,none,Nenhuma,none,Nenhuma,Academia,140,,https://drive.google.com/file/d/1NUiAyp1kVl5GRR2GG_6H6Xw_ckSIH7h5/view?usp=sharing
ex_009,27cd95b2-e01e-4c39-85e5-1e6beadc7ca9,Agachamento no smith,Smith Machine Squat,Squat à la machine Smith,"Posicione a barra do smith nas costas, flexione os joelhos descendo o quadril e suba novamente.","On smith machine, bar on back, bend knees lowering hips, return up.","Sur la machine Smith, barre sur le dos, pliez les genoux en descendant, revenez debout.",quadriceps; glutes; hamstrings; core,Core (Geral); Quadríceps; Isquiotibiais; Glúteos (Geral),smith_machine,barra guiada (smith),intermediate,Intermediário,pregnancy,Gravidez,asthma; diabetes; knee_pain; high_blood_pressure; lumbar_hernia; obesity; heart_condition; pregnancy_postpartum,Asma ; Condição Cardíaca ; Diabetes; Hipertensão ; Joelho; Lombar; Obesidade ; Pós-parto,Academia,175,,https://drive.google.com/file/d/1IhKOE3k0YXrI0QUWTURye43X_ywYU5SX/view?usp=sharing
ex_010,d3671449-aee3-4296-af24-4dbc9d894a89,Agachamento frontal com barra,Barbell Front Squat,Squat avant avec barre,"Apoie a barra na frente dos ombros, agache mantendo o tronco ereto e retorne.","Hold bar on shoulders, bend knees lowering hips, return to standing.","Tenez la barre sur les épaules, pliez les genoux en descendant, revenez debout.",quadriceps; core; hamstrings; glutes,Core (Geral); Quadríceps; Isquiotibiais; Glúteos (Geral),bar_fixed_bar,barra/barra fixa,advanced,Avançado,pregnancy,Gravidez,asthma; diabetes; knee_pain; high_blood_pressure; cervical_hernia; lumbar_hernia; obesity; heart_condition; pregnancy_postpartum,Asma ; Condição Cardíaca ; Diabetes; Hérnia Cervical; Hipertensão ; Joelho; Lombar; Obesidade ; Pescoço; Pós-parto,Casa (com equipamento); Academia,190,,https://drive.google.com/file/d/17vD7Mbp8BRFYUZnOHfGqALoWAu23GOE2/view?usp=sharing
