meal_id;nome;ativa;tipo de problema;descricao;gravidade;decisao
meal_003;Ovos Mexidos com Pão Francês;true;Consistência de estilo;O texto não inicia com verbo no imperativo nem passo numerado, quebrando o padrão de formato da plataforma.;Baixa;
meal_004;Pão Integral com Pasta de Amendoim e Geleia;true;Consistência de estilo;O texto não inicia com verbo no imperativo nem passo numerado, quebrando o padrão de formato da plataforma.;Baixa;
meal_008;Tapioca de Frango com Requeijão Light;true;Consistência de estilo;O texto não inicia com verbo no imperativo nem passo numerado, quebrando o padrão de formato da plataforma.;Baixa;
meal_011;Frango com Batata Doce e Brócolis;false;Completude;Ingrediente(s) [arroz integral cozido, farinha de trigo] listado(s) mas omitido(s) no modo de preparo.;Média;
meal_011;Frango com Batata Doce e Brócolis;false;Ordem e clareza;A instrução inverte a ordem lógica: pede para cozinhar/assar/misturar DEPOIS de orientar a servir o prato.;Alta;
meal_011;Frango com Batata Doce e Brócolis;false;Precisão utilizável;Instrução usa 'grelhe' mas não define tempo nem ponto de cozimento (ex: 'até dourar'). Inexecutável para leigos.;Alta;
meal_012;Prato Feito (Arroz, Feijão e Bife);false;Completude;Ingrediente(s) [batata doce cozida, macarrão cozido] listado(s) mas omitido(s) no modo de preparo.;Média;
meal_012;Prato Feito (Arroz, Feijão e Bife);false;Consistência de estilo;O texto não inicia com verbo no imperativo nem passo numerado, quebrando o padrão de formato da plataforma.;Baixa;
meal_013;Bacalhau com Batata e Ovo;false;Completude;Ingrediente(s) [pão integral] listado(s) mas omitido(s) no modo de preparo.;Média;
meal_013;Bacalhau com Batata e Ovo;false;Precisão utilizável;Instrução usa 'cozinhe' mas não define tempo nem ponto de cozimento (ex: 'até dourar'). Inexecutável para leigos.;Alta;
meal_014;Macarrão à Bolonhesa Saudável;false;Precisão utilizável;Instrução usa 'cozinhe' mas não define tempo nem ponto de cozimento (ex: 'até dourar'). Inexecutável para leigos.;Alta;
meal_015;Strogonoff de Frango com Arroz;false;Completude;Ingrediente(s) [batata doce cozida] listado(s) mas omitido(s) no modo de preparo.;Média;
meal_015;Strogonoff de Frango com Arroz;false;Precisão utilizável;Instrução usa 'refogue' mas não define tempo nem ponto de cozimento (ex: 'até dourar'). Inexecutável para leigos.;Alta;
meal_016;Salada de Atum e Grão-de-bico;true;Consistência de estilo;O texto não inicia com verbo no imperativo nem passo numerado, quebrando o padrão de formato da plataforma.;Baixa;
meal_017;Salmão Assado com Quinoa e Cenoura;false;Completude;Ingrediente(s) [cuscuz de milho cozido] listado(s) mas omitido(s) no modo de preparo.;Média;
meal_017;Salmão Assado com Quinoa e Cenoura;false;Precisão utilizável;Instrução usa 'asse' mas não define tempo nem ponto de cozimento (ex: 'até dourar'). Inexecutável para leigos.;Alta;
meal_018;Hambúrguer Vegetal com Purê de Abóbora;true;Precisão utilizável;Instrução usa 'grelhe' mas não define tempo nem ponto de cozimento (ex: 'até dourar'). Inexecutável para leigos.;Alta;
meal_019;Omelete de Espinafre e Tomate Seco;false;Completude;Ingrediente(s) [araruta cozida, tomate seco em óleo] listado(s) mas omitido(s) no modo de preparo.;Média;
meal_019;Omelete de Espinafre e Tomate Seco;false;Precisão utilizável;Instrução usa 'cozinhe' mas não define tempo nem ponto de cozimento (ex: 'até dourar'). Inexecutável para leigos.;Alta;
meal_020;Tofu Defumado com Arroz Integral;false;Completude;Ingrediente(s) [farinha de trigo, milho cozido] listado(s) mas omitido(s) no modo de preparo.;Média;
