"NOTA: nenhuma das refeicoes listadas abaixo esta ativa hoje no catalogo (todas ja foram desativadas anteriormente por causa do mesmo defeito de offset). Isto e revisao de recuperacao de catalogo para reativacao futura, nao incendio ativo - nao ha usuario recebendo essas refeicoes agora. O ritmo de trabalho pode ser o de revisao cuidadosa, sem urgencia de resposta."
"Nome_da_Receita";"Ingrediente_Encontrado_Hoje";"Ingrediente_Sugerido_pelo_Texto";"Ativa";"Decisao_Nutricionista"
"Salmão Assado com Quinoa e Cenoura";"Polenta cozida";"Cenoura";"NÃO";""
"Patê de Atum com Cenoura";"Polenta cozida";"Cenoura";"NÃO";""
"Peixe Assado no Papelote com Cenoura";"Polenta cozida";"Cenoura";"NÃO";""
"Salada Rápida de Cenoura e Ovo";"Polenta cozida";"Cenoura";"NÃO";""
"Sopa Clara de Cenoura e Batata";"Polenta cozida";"Cenoura";"NÃO";""
"Salmão Assado com Quinoa e Cenoura";"Cuscuz de milho cozido";"Quinoa";"NÃO";""
"Salada Refrescante de Quinoa e Atum";"Cuscuz de milho cozido";"Quinoa";"NÃO";""
"Mingau de Quinoa com Maçã e Canela";"Cuscuz de milho cozido";"Quinoa";"NÃO";""
"Peito de Frango com Feijão e Quinoa";"Cuscuz de milho cozido";"Quinoa";"NÃO";""
"Peito de Peru com Salada Quente de Quinoa";"Cuscuz de milho cozido";"Quinoa";"NÃO";""
"Risoto Falso de Quinoa e Funghi";"Cuscuz de milho cozido";"Quinoa";"NÃO";""
"Bowl Proteico Vegano (Quinoa e Tofu)";"Cuscuz de milho cozido";"Quinoa";"NÃO";""
"Salada Morna de Quinoa";"Cuscuz de milho cozido";"Quinoa";"NÃO";""
"Macarrão à Bolonhesa Saudável";"Quinoa cozida";"Macarrão/Massa";"NÃO";""
"Massa Integral com Pesto e Tomate";"Quinoa cozida";"Macarrão/Massa";"NÃO";""
"Macarrão com Camarão e Alho";"Quinoa cozida";"Macarrão/Massa";"NÃO";""
"Macarrão com Sardinha e Molho de Tomate";"Quinoa cozida";"Macarrão/Massa";"NÃO";""
"Espaguete à Bolonhesa com Parmesão";"Quinoa cozida";"Macarrão/Massa";"NÃO";""
"Omelete de Queijo Minas e Tomate";"Alface";"Tomate";"NÃO";""
"Bruschetta Saudável de Tomate";"Alface";"Tomate";"NÃO";""
"Massa Integral com Pesto e Tomate";"Alface";"Tomate";"NÃO";""
"Sopa de Tomate Rústica";"Alface";"Tomate";"NÃO";""
"Salada Caprese Expresso";"Alface";"Tomate";"NÃO";""
"Frango com Batata Doce e Brócolis";"Farinha de trigo (contém glúten)";"Brócolis";"NÃO";""
"Filé de Pescada com Brócolis";"Farinha de trigo (contém glúten)";"Brócolis";"NÃO";""
"Creme de Brócolis e Queijo";"Farinha de trigo (contém glúten)";"Brócolis";"NÃO";""
"Iscas de Mignon com Shoyu e Brócolis";"Farinha de trigo (contém glúten)";"Brócolis";"NÃO";""
"Tofu Assado com Brócolis";"Farinha de trigo (contém glúten)";"Brócolis";"NÃO";""
"Iogurte com Chia e Maçã";"Laranja";"Maçã";"NÃO";""
"Mingau de Quinoa com Maçã e Canela";"Laranja";"Maçã";"NÃO";""
"Mingau de Aveia com Maçã e Canela";"Laranja";"Maçã";"NÃO";""
"Vitamina de Aveia e Maçã";"Laranja";"Maçã";"NÃO";""
"Omelete de Espinafre e Tomate Seco";"Araruta cozida";"Espinafre";"NÃO";""
"Creme de Espinafre com Tofu Defumado";"Araruta cozida";"Espinafre";"NÃO";""
"Crepe Verde de Espinafre";"Araruta cozida";"Espinafre";"NÃO";""
"Omelete de Cogumelos e Espinafre";"Araruta cozida";"Espinafre";"NÃO";""
"Omelete de Claras com Espinafre";"Araruta cozida";"Espinafre";"NÃO";""
"Omelete de Cogumelos e Espinafre";"Pipoca (sem óleo, sem sal)";"Cogumelo";"NÃO";""
"Lentilha Estufada com Cogumelos";"Pipoca (sem óleo, sem sal)";"Cogumelo";"NÃO";""
"Risoto Falso de Quinoa e Funghi";"Pipoca (sem óleo, sem sal)";"Cogumelo";"NÃO";""
"Strogonoff de Cogumelos";"Pipoca (sem óleo, sem sal)";"Cogumelo";"NÃO";""
"Frango com Batata Doce e Brócolis";"Arroz integral cozido";"Batata doce";"NÃO";""
"Carne Moída com Purê de Batata Doce";"Arroz integral cozido";"Batata doce";"NÃO";""
"Escondidinho de Batata Doce e Carne";"Arroz integral cozido";"Batata doce";"NÃO";""
