exercise_id,exercise_nome,condition_slug,condition_nome_ptbr,tipo,source
ex_001,Agachamento livre,asthma,Asma ,caution,confirmed
ex_001,Agachamento livre,diabetes,Diabetes,caution,confirmed
ex_001,Agachamento livre,heart_condition,Condição Cardíaca ,caution,confirmed
ex_001,Agachamento livre,high_blood_pressure,Hipertensão ,caution,confirmed
ex_001,Agachamento livre,knee_pain,Joelho,caution,confirmed
ex_001,Agachamento livre,lumbar_hernia,Lombar,caution,confirmed
ex_001,Agachamento livre,obesity,Obesidade ,caution,confirmed
ex_001,Agachamento livre,pregnancy,Gravidez,avoid,confirmed
ex_001,Agachamento livre,pregnancy_postpartum,Pós-parto,caution,confirmed
ex_002,Avanço (afundo) com peso corporal,asthma,Asma ,caution,confirmed
ex_002,Avanço (afundo) com peso corporal,diabetes,Diabetes,caution,confirmed
ex_002,Avanço (afundo) com peso corporal,heart_condition,Condição Cardíaca ,caution,confirmed
ex_002,Avanço (afundo) com peso corporal,high_blood_pressure,Hipertensão ,caution,confirmed
ex_002,Avanço (afundo) com peso corporal,knee_pain,Joelho,caution,confirmed
ex_002,Avanço (afundo) com peso corporal,lumbar_hernia,Lombar,caution,confirmed
ex_002,Avanço (afundo) com peso corporal,obesity,Obesidade ,caution,confirmed
ex_002,Avanço (afundo) com peso corporal,pregnancy,Gravidez,avoid,confirmed
ex_002,Avanço (afundo) com peso corporal,pregnancy_postpartum,Pós-parto,caution,confirmed
ex_003,Agachamento sumô isométrico,asthma,Asma ,caution,confirmed
ex_003,Agachamento sumô isométrico,diabetes,Diabetes,caution,confirmed
ex_003,Agachamento sumô isométrico,groin_pain,Dor na Virilha,caution,ai_suggested
ex_003,Agachamento sumô isométrico,heart_condition,Condição Cardíaca ,caution,confirmed
ex_003,Agachamento sumô isométrico,high_blood_pressure,Hipertensão ,caution,confirmed
ex_003,Agachamento sumô isométrico,joint_problems_severe,Problemas Articulares Graves,caution,ai_suggested
ex_003,Agachamento sumô isométrico,knee_pain,Joelho,caution,confirmed
ex_003,Agachamento sumô isométrico,lumbar_hernia,Lombar,caution,confirmed
ex_003,Agachamento sumô isométrico,obesity,Obesidade ,caution,confirmed
ex_003,Agachamento sumô isométrico,pregnancy,Gravidez,avoid,confirmed
ex_003,Agachamento sumô isométrico,pregnancy_postpartum,Pós-parto,caution,confirmed
ex_004,Agachamento com halteres,asthma,Asma ,caution,confirmed
ex_004,Agachamento com halteres,diabetes,Diabetes,caution,confirmed
ex_004,Agachamento com halteres,heart_condition,Condição Cardíaca ,caution,confirmed
ex_004,Agachamento com halteres,high_blood_pressure,Hipertensão ,caution,confirmed
ex_004,Agachamento com halteres,knee_pain,Joelho,caution,confirmed
ex_004,Agachamento com halteres,lumbar_hernia,Lombar,caution,confirmed
ex_004,Agachamento com halteres,obesity,Obesidade ,caution,confirmed
ex_004,Agachamento com halteres,pregnancy,Gravidez,avoid,confirmed
ex_004,Agachamento com halteres,pregnancy_postpartum,Pós-parto,caution,confirmed
ex_005,lunge Passada com halteres,asthma,Asma ,caution,confirmed
ex_005,lunge Passada com halteres,diabetes,Diabetes,caution,confirmed
ex_005,lunge Passada com halteres,heart_condition,Condição Cardíaca ,caution,confirmed
ex_005,lunge Passada com halteres,high_blood_pressure,Hipertensão ,caution,confirmed
ex_005,lunge Passada com halteres,knee_pain,Joelho,caution,confirmed
ex_005,lunge Passada com halteres,lumbar_hernia,Lombar,caution,confirmed
ex_005,lunge Passada com halteres,obesity,Obesidade ,caution,confirmed
ex_005,lunge Passada com halteres,pregnancy,Gravidez,avoid,confirmed
ex_005,lunge Passada com halteres,pregnancy_postpartum,Pós-parto,caution,confirmed
ex_006,Agachamento frontal com kettlebell,asthma,Asma ,caution,confirmed
ex_006,Agachamento frontal com kettlebell,diabetes,Diabetes,caution,confirmed
ex_006,Agachamento frontal com kettlebell,heart_condition,Condição Cardíaca ,caution,confirmed
ex_006,Agachamento frontal com kettlebell,high_blood_pressure,Hipertensão ,caution,confirmed
ex_006,Agachamento frontal com kettlebell,knee_pain,Joelho,caution,confirmed
ex_006,Agachamento frontal com kettlebell,lumbar_hernia,Lombar,caution,confirmed
ex_006,Agachamento frontal com kettlebell,obesity,Obesidade ,caution,confirmed
ex_006,Agachamento frontal com kettlebell,pregnancy,Gravidez,avoid,confirmed
ex_006,Agachamento frontal com kettlebell,pregnancy_postpartum,Pós-parto,caution,confirmed
ex_009,Agachamento no smith,asthma,Asma ,caution,confirmed
ex_009,Agachamento no smith,diabetes,Diabetes,caution,confirmed
ex_009,Agachamento no smith,heart_condition,Condição Cardíaca ,caution,confirmed
ex_009,Agachamento no smith,high_blood_pressure,Hipertensão ,caution,confirmed
ex_009,Agachamento no smith,knee_pain,Joelho,caution,confirmed
ex_009,Agachamento no smith,lumbar_hernia,Lombar,caution,confirmed
ex_009,Agachamento no smith,obesity,Obesidade ,caution,confirmed
ex_009,Agachamento no smith,pregnancy,Gravidez,avoid,confirmed
ex_009,Agachamento no smith,pregnancy_postpartum,Pós-parto,caution,confirmed
ex_010,Agachamento frontal com barra,asthma,Asma ,caution,confirmed
ex_010,Agachamento frontal com barra,cervical_hernia,Hérnia Cervical,caution,confirmed
ex_010,Agachamento frontal com barra,diabetes,Diabetes,caution,confirmed
ex_010,Agachamento frontal com barra,heart_condition,Condição Cardíaca ,caution,confirmed
ex_010,Agachamento frontal com barra,high_blood_pressure,Hipertensão ,caution,confirmed
ex_010,Agachamento frontal com barra,joint_problems_severe,Problemas Articulares Graves,caution,ai_suggested
ex_010,Agachamento frontal com barra,knee_pain,Joelho,caution,confirmed
ex_010,Agachamento frontal com barra,lumbar_hernia,Lombar,caution,confirmed
ex_010,Agachamento frontal com barra,lumbar_pain,Lombar,caution,ai_suggested
ex_010,Agachamento frontal com barra,obesity,Obesidade ,caution,confirmed
ex_010,Agachamento frontal com barra,pelvic_floor_issues,Problemas no Assoalho Pélvico,caution,ai_suggested
ex_010,Agachamento frontal com barra,pregnancy,Gravidez,avoid,confirmed
ex_010,Agachamento frontal com barra,pregnancy_postpartum,Pós-parto,caution,confirmed
ex_011,Avanço com barra,asthma,Asma ,caution,confirmed
ex_011,Avanço com barra,cervical_hernia,Hérnia Cervical,caution,confirmed
ex_011,Avanço com barra,diabetes,Diabetes,caution,confirmed
ex_011,Avanço com barra,heart_condition,Condição Cardíaca ,caution,confirmed
ex_011,Avanço com barra,high_blood_pressure,Hipertensão ,caution,confirmed
ex_011,Avanço com barra,knee_pain,Joelho,caution,confirmed
ex_011,Avanço com barra,lumbar_hernia,Lombar,caution,confirmed
ex_011,Avanço com barra,obesity,Obesidade ,caution,confirmed
ex_011,Avanço com barra,pregnancy,Gravidez,avoid,confirmed
ex_011,Avanço com barra,pregnancy_postpartum,Pós-parto,caution,confirmed
ex_012,Thruster (agachamento com push press),asthma,Asma ,caution,confirmed
ex_012,Thruster (agachamento com push press),diabetes,Diabetes,caution,confirmed
